Country Name,Country Code,Series Name,Series Code,1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Kenya,KEN,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,30.2134271554139,28.3895914556907,28.0316349701609,35.0993582866759,40.1784240980905,48.0846743344258,48.617749779006,54.5202586895828,62.6776770710645,58.6460080249907,70.5628300352915,65.7700077293464,75.2014289517671,72.3341012604124,73.2584771301599,85.9692823704326,95.8287706134185,87.8233129467514,131.899672456245,104.989738995445,83.7618607478318,57.6458704752809,49.9477374885962,48.8621957249724,51.2837287259863,48.8816816711472,42.8030792314832,46.7971661071858,45.5616989858586,43.3540299808694,34.7059410831863,26.0902560577936,23.8155904871498,21.4473704486947,23.2191740274624,22.2953111640431,23.9314455090232,23.5760157767792,25.277644789086,27.916456980179,31.3058278228131,28.5315668521598,33.4901470475528,34.6140434138868,35.4042862038635,38.0454096339675,38.1042168095825,36.8769031537885,40.4232521954815,34.992669732423
Kenya,KEN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..,..,..,..,..,21.0285042554811,26.9657704290968,30.4825101956896,33.7741974314409,34.7957612480719,38.6658831324043,35.6066125489206,39.7669428979715,38.9914422467964,36.6398607879798,35.4124283630656,32.6135499035496,31.1389325784184,17.0594506222193,20.5640053250764,25.2639536243036,22.389625941754,15.5626688001832,14.8526034647986,15.8253913979619,21.0196812552366,15.8770724297325,16.3518460197548,15.8395942005604,8.28271114274799,9.98729954136341,7.13640902609938,6.33193280296341,4.88681340498547,5.14297262607261,4.40619610700289,4.31690093770715,4.6495039960247,4.73075851407227,11.362004823099,8.33004713955533,11.1736382993382,14.5974443871521,23.6995062707777,38.427302443419,24.2889288609468,16.7806362225923,18.1305777110906,21.1131036239564,27.2238636965006
Kenya,KEN,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.5621058827303,19.3515429430809,19.0657755266586,21.1458721961561,18.6789342149032,19.0978050742836,17.6588131025385,17.3452383502575,17.8826094865972,18.6388294257783,..
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,14.7285664015687,3.36123203258556,7.9826899693479,7.9592244594956,-4.65544691647621,22.1738919255764,17.082429349983,5.89658021016672,4.06561734893735,5.5919762059677,3.77354419402822,1.50647825757706,1.3090502411486,1.75521697703473,4.30056181879613,7.17755539065963,5.93710744420895,6.20318382314591,4.69034876792047,4.19205097155167,1.43834679171559,-0.799493958641349,0.353197256227247,2.632784517837,4.40621652482287,4.14683926876013,0.474901921293579,3.29021372249065,2.30538859522412,0.599695390807426,3.77990649795343,0.546859530175595,2.93247554570904,5.10429977629738,5.90666607980057,6.47249430015484,6.85072976998784,0.232282744812977,3.30693981631089,8.05847360290906,5.1211061197056,4.56867961444982,3.7978483925754,5.02011100232484,4.96772112759767,4.21351706814744,3.83795817364721,5.64794640709219,5.11415885767801,-0.272766327438816,7.59048947333467,4.85998104287999,5.71999241214208,4.72473994710138
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
