year,external_debt_gni,gdp_growth,revenue_gdp,debt_service_exports
1980,48.0846743344258,5.5919762059677,,21.0285042554811
1981,48.617749779006,3.77354419402822,,26.9657704290968
1982,54.5202586895828,1.50647825757706,,30.4825101956896
1983,62.6776770710645,1.3090502411486,,33.7741974314409
1984,58.6460080249907,1.75521697703473,,34.7957612480719
1985,70.5628300352915,4.30056181879613,,38.6658831324043
1986,65.7700077293464,7.17755539065963,,35.6066125489206
1987,75.2014289517671,5.93710744420895,,39.7669428979715
1988,72.3341012604124,6.20318382314591,,38.9914422467964
1989,73.2584771301599,4.69034876792047,,36.6398607879798
1990,85.9692823704326,4.19205097155167,,35.4124283630656
1991,95.8287706134185,1.43834679171559,,32.6135499035496
1992,87.8233129467514,-0.799493958641349,,31.1389325784184
1993,131.899672456245,0.353197256227247,,17.0594506222193
1994,104.989738995445,2.632784517837,,20.5640053250764
1995,83.7618607478318,4.40621652482287,,25.2639536243036
1996,57.6458704752809,4.14683926876013,,22.389625941754
1997,49.9477374885962,0.474901921293579,,15.5626688001832
1998,48.8621957249724,3.29021372249065,,14.8526034647986
1999,51.2837287259863,2.30538859522412,,15.8253913979619
2000,48.8816816711472,0.599695390807426,,21.0196812552366
2001,42.8030792314832,3.77990649795343,,15.8770724297325
2002,46.7971661071858,0.546859530175595,,16.3518460197548
2003,45.5616989858586,2.93247554570904,,15.8395942005604
2004,43.3540299808694,5.10429977629738,,8.28271114274799
2005,34.7059410831863,5.90666607980057,,9.98729954136341
2006,26.0902560577936,6.47249430015484,,7.13640902609938
2007,23.8155904871498,6.85072976998784,,6.33193280296341
2008,21.4473704486947,0.232282744812977,,4.88681340498547
2009,23.2191740274624,3.30693981631089,,5.14297262607261
2010,22.2953111640431,8.05847360290906,,4.40619610700289
2011,23.9314455090232,5.1211061197056,,4.31690093770715
2012,23.5760157767792,4.56867961444982,,4.6495039960247
2013,25.277644789086,3.7978483925754,,4.73075851407227
2014,27.916456980179,5.02011100232484,19.5621058827303,11.362004823099
2015,31.3058278228131,4.96772112759767,19.3515429430809,8.33004713955533
2016,28.5315668521598,4.21351706814744,19.0657755266586,11.1736382993382
2017,33.4901470475528,3.83795817364721,21.1458721961561,14.5974443871521
2018,34.6140434138868,5.64794640709219,18.6789342149032,23.6995062707777
2019,35.4042862038635,5.11415885767801,19.0978050742836,38.427302443419
2020,38.0454096339675,-0.272766327438816,17.6588131025385,24.2889288609468
2021,38.1042168095825,7.59048947333467,17.3452383502575,16.7806362225923
2022,36.8769031537885,4.85998104287999,17.8826094865972,18.1305777110906
2023,40.4232521954815,5.71999241214208,18.6388294257783,21.1131036239564
2024,34.992669732423,4.72473994710138,,27.2238636965006
